Bailey,Continent,20,10,11,12,30,40,130,140,120,121,122,110,80,81,82,50,100,60,62,61,90,70,71,72,160,170,180,150,151,152,153,190,200,201,202,210,220,230
1,Africa,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","70,0,1,29","70,0,1,29","70,0,1,29","1,0,0,99","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","75,0,0,25","70,0,1,29","7,0,0,3","7,0,0,3","7,0,0,3","7,0,0,3","30,0,0,20","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
1,Oceania,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","70,0,1,29","70,0,1,29","70,0,1,29","1,0,0,99","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","75,0,0,25","70,0,1,29","7,0,0,3","7,0,0,3","7,0,0,3","7,0,0,3","30,0,0,20","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
1,Oceania_NZ,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","70,0,1,29","70,0,1,29","70,0,1,29","1,0,0,99","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","75,0,0,25","70,0,1,29","7,0,0,3","7,0,0,3","7,0,0,3","7,0,0,3","30,0,0,20","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
1,EurAsia,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","20,10,10,60","10,20,10,60","10,40,20,30","1,0,0,99","10,50,30,10","10,50,30,10","10,50,30,10","10,50,30,10","25,40,30,5","5,60,30,5","25,40,30,5","10,50,30,10","10,50,30,10","5,60,30,5","10,50,30,10","5,60,30,5","5,60,30,5","25,40,30,5","5,60,30,5","25,40,30,5","5,60,30,5","75,0,0,25","5,10,10,75","1,4,2,3","1,5,2,2","1,5,3,1","1,4,2,3","5,10,5,30","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
1,North America,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","20,10,10,60","10,20,10,60","10,40,20,30","1,0,0,99","10,50,30,10","10,50,30,10","10,50,30,10","10,50,30,10","25,40,30,5","5,60,30,5","25,40,30,5","10,50,30,10","10,50,30,10","5,60,30,5","10,50,30,10","5,60,30,5","5,60,30,5","25,40,30,5","5,60,30,5","25,40,30,5","5,60,30,5","75,0,0,25","5,10,10,75","1,4,2,3","1,5,2,2","1,5,3,1","1,4,2,3","5,10,5,30","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
1,South America,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","40,0,1,59","55,0,1,44","70,0,1,29","1,0,0,99","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","75,0,0,25","70,0,1,29","6,0,1,3","7,0,0,3","7,0,0,3","6,0,1,3","34,0,1,15","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
2,Africa,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","70,0,1,29","70,0,1,29","70,0,1,29","1,0,0,99","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","75,0,0,25","70,0,1,29","7,0,0,3","7,0,0,3","7,0,0,3","7,0,0,3","30,0,0,20","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
2,Oceania,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","70,0,1,29","70,0,1,29","70,0,1,29","1,0,0,99","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","75,0,0,25","70,0,1,29","7,0,0,3","7,0,0,3","7,0,0,3","7,0,0,3","30,0,0,20","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
2,Oceania_NZ,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","70,0,1,29","70,0,1,29","70,0,1,29","1,0,0,99","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","70,0,1,29","75,0,0,25","70,0,1,29","7,0,0,3","7,0,0,3","7,0,0,3","7,0,0,3","30,0,0,20","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
2,EurAsia,"30,0,0,70","70,0,0,30","70,0,0,30","80,0,0,20","20,10,10,60","10,20,10,60","10,40,20,30","1,0,0,99","10,50,30,10","10,50,30,10","10,50,30,10","10,50,30,10","25,40,30,5","5,60,30,5","25,40,30,5","10,50,30,10","10,50,30,10","5,60,30,5","10,50,30,10","5,60,30,5","5,60,30,5","25,40,30,5","5,60,30,5","25,40,30,5","5,60,30,5","75,0,0,25","5,10,10,75","1,4,2,3","1,5,2,2","1,5,3,1","1,4,2,3","5,10,5,30","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0","0,0,0,0"
